i,Ortho_ID,Name,sum,p_fisher,or,P_pagel,P_pagel_adj,repair
172574,29267at33208,ring finger protein 103,33,6.64284813881281e-19,73.8594666546229,0.000871927307270413,0.0091808816471414,FALSE
148550,2530571at33208,"RAD52 homolog, DNA repair protein",63,3.61754102892404e-06,6.94951193003372,0.0010467405973185,0.00986139825894795,TRUE
274924,5477627at2759,"RAD52 homolog, DNA repair protein",63,3.61754102892404e-06,6.94951193003372,0.0010467405973185,0.00986139825894795,TRUE
57463,1451962at2759,"methyl-CpG binding domain 4, DNA glycosylase",62,1.45623358268182e-16,115.711908547139,0.00183914323725967,0.0149920321616326,TRUE
254348,48138at33208,"methyl-CpG binding domain 4, DNA glycosylase",62,1.45623358268182e-16,115.711908547139,0.00183914323725967,0.0149920321616326,TRUE
137203,236438at33208,core histone macro-H2A.1,31,3.79333038228975e-20,98.8106225602349,0.00187135268882323,0.0149920321616326,FALSE
170207,2900863at2759,mitochondrial genome maintenance exonuclease 1,126,1.21856560178681e-06,Inf,0.00201010487083342,0.0149920321616326,TRUE
172631,29275at33208,mitochondrial genome maintenance exonuclease 1,126,1.21856560178681e-06,Inf,0.00201010487083342,0.0149920321616326,TRUE
185414,309593at33208,centromere protein X,53,1.95404713868968e-11,19.0597856532773,0.00231617045502028,0.0159459427480243,TRUE
192067,3181181at2759,centromere protein X,53,1.95404713868968e-11,19.0597856532773,0.00231617045502028,0.0159459427480243,TRUE
36775,123665at33208,ubiquitin protein ligase E3D,25,1.16041132744484e-18,117.779861089737,0.00403308191500058,0.0255020719677359,FALSE
177678,2995253at2759,ubiquitin protein ligase E3D,25,1.16041132744484e-18,117.779861089737,0.00403308191500058,0.0255020719677359,FALSE
345355,807448at33208,damage specific DNA binding protein 2,27,8.71923401446525e-14,37.8329289871091,0.00413162059812481,0.0255020719677359,TRUE
115370,19996at33208,probable endonuclease 4,33,6.64284813881281e-19,73.8594666546229,0.00493968302020035,0.0285226858263181,TRUE
149864,254767at2759,probable endonuclease 4,33,6.64284813881281e-19,73.8594666546229,0.00493968302020035,0.0285226858263181,TRUE
49908,1372at2759,endonuclease V,22,3.14027035762067e-17,133.311540472304,0.00629219197250558,0.0323475876639665,TRUE
222772,38971at33208,endonuclease V,22,3.14027035762067e-17,133.311540472304,0.00629219197250558,0.0323475876639665,TRUE
28240,116673at2759,E3 ubiquitin-protein ligase RNF213,23,2.2394231143222e-11,29.8121427505749,0.00632494730859681,0.0323475876639665,FALSE
113553,1974663at33208,E3 ubiquitin-protein ligase RNF213,23,2.2394231143222e-11,29.8121427505749,0.00632494730859681,0.0323475876639665,FALSE
35876,12276at2759,ring finger protein 220,172,0.0477892755843802,Inf,0.0106814007266989,0.0516748845967325,FALSE
142410,2451309at33208,ring finger protein 220,172,0.0477892755843802,Inf,0.0106814007266989,0.0516748845967325,FALSE
81411,161837at33208,ubiquitin conjugating enzyme E2 Z,34,5.32088604217012e-15,37.116200014288,0.0118733340374144,0.0559296524393995,FALSE
144998,2487233at33208,SET nuclear proto-oncogene,158,0.00299262682820841,Inf,0.0142628427267141,0.0628883110703905,FALSE
266963,5318522at2759,SET nuclear proto-oncogene,158,0.00299262682820841,Inf,0.0142628427267141,0.0628883110703905,FALSE
149542,25402at33208,ankyrin repeat and SOCS box protein 12-like,167,0.0167654473502271,Inf,0.0144045852172403,0.0628883110703905,FALSE
144090,2478461at33208,primase and DNA directed polymerase,89,6.77927685513389e-06,7.84139765430149,0.0151582794457826,0.063100744669653,TRUE
262247,50789at2759,primase and DNA directed polymerase,89,6.77927685513389e-06,7.84139765430149,0.0151582794457826,0.063100744669653,TRUE
36587,123472at2759,mutY DNA glycosylase,30,2.25243633090457e-15,44.0049784972608,0.0181975336875052,0.0719425443845223,TRUE
163034,28022at33208,mutY DNA glycosylase,30,2.25243633090457e-15,44.0049784972608,0.0181975336875052,0.0719425443845223,TRUE
87873,169291at2759,apurinic/apyrimidinic endodeoxyribonuclease 2,42,4.10719674329747e-24,342.028119034182,0.0188899418216343,0.0719425443845223,TRUE
147731,2525051at33208,apurinic/apyrimidinic endodeoxyribonuclease 2,42,4.10719674329747e-24,342.028119034182,0.0188899418216343,0.0719425443845223,TRUE
59302,1466292at2759,SWI5 homologous recombination repair protein,68,0.00189060937259974,3.52826612802587,0.0207708158682715,0.0758770620494001,TRUE
254642,48226at33208,SWI5 homologous recombination repair protein,68,0.00189060937259974,3.52826612802587,0.0207708158682715,0.0758770620494001,TRUE
148657,2531271at33208,valosin containing protein interacting protein 1,25,2.56130911371827e-13,38.6423697709518,0.021693744518922,0.0761407895860202,FALSE
270603,5402859at2759,valosin containing protein interacting protein 1,25,2.56130911371827e-13,38.6423697709518,0.021693744518922,0.0761407895860202,FALSE
149126,2534013at33208,ring finger protein 25,166,0.0162147053333261,Inf,0.0285249512804255,0.0963389863999275,FALSE
270901,5405601at2759,ring finger protein 25,166,0.0162147053333261,Inf,0.0285249512804255,0.0963389863999275,FALSE
274713,5475985at2759,ankyrin repeat and SOCS box protein 12-like,170,0.0486740631705131,Inf,0.0300066648599265,0.0965695327207864,FALSE
192326,318445at2759,X-ray repair cross complementing 2,106,0.00267700092896692,3.98573413883974,0.0310488751890501,0.0965695327207864,TRUE
355176,869036at33208,X-ray repair cross complementing 2,106,0.00267700092896692,3.98573413883974,0.0310488751890501,0.0965695327207864,TRUE
170952,2908152at2759,U-box domain containing 5,150,0.00673481927095214,9.68249411118441,0.0316224879598824,0.0965695327207864,FALSE
215242,36564at33208,U-box domain containing 5,150,0.00673481927095214,9.68249411118441,0.0316224879598824,0.0965695327207864,FALSE
28137,11658at2759,Uracil-DNA glycosylase,54,3.91564561070412e-17,75.1913544210573,0.0323696757723306,0.0965695327207864,TRUE
291566,5924at33208,uracil DNA glycosylase,54,3.91564561070412e-17,75.1913544210573,0.0323696757723306,0.0965695327207864,TRUE
221759,38618at33208,tripartite motif containing 37,135,1.45519728116584e-05,Inf,0.0337531827992871,0.0974487051785871,FALSE
275883,5487127at2759,tripartite motif containing 37,135,1.45519728116584e-05,Inf,0.0337531827992871,0.0974487051785871,FALSE
195863,3237195at2759,G protein pathway suppressor 2,124,0.00651990311625882,4.28714833558588,0.0350646571081764,0.0980714628494308,FALSE
215235,365607at33208,G protein pathway suppressor 2,124,0.00651990311625882,4.28714833558588,0.0350646571081764,0.0980714628494308,FALSE
146966,2517909at33208,DNA polymerase beta,108,1.9076263192316e-05,9.13000614231104,0.0375235422339589,0.100766869093217,TRUE
260023,49764at2759,DNA polymerase beta,108,1.9076263192316e-05,9.13000614231104,0.0375235422339589,0.100766869093217,TRUE
147641,2524377at33208,Centromere protein S,64,5.33383619716921e-09,12.6174702712953,0.0382801513873675,0.100766869093217,TRUE
269966,5395965at2759,Centromere protein S,64,5.33383619716921e-09,12.6174702712953,0.0382801513873675,0.100766869093217,TRUE
276220,5489991at2759,RING-type E3 ubiquitin transferase,128,0.000314756690134825,8.71739437529501,0.0395907038989672,0.101239085684502,FALSE
56867,144413at33208,"WD repeat, sterile alpha motif and U-box domain containing 1",128,0.000314756690134825,8.71739437529501,0.0395907038989672,0.101239085684502,FALSE
34011,1216351at2759,RAD51 paralog C,134,0.00117624719049047,7.40197876205323,0.0409041417596454,0.101692241319118,TRUE
122987,210989at33208,RAD51 paralog C,134,0.00117624719049047,7.40197876205323,0.0409041417596454,0.101692241319118,TRUE
147682,2524702at33208,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",156,0.0016900729671073,Inf,0.0432437481432744,0.104603120508731,TRUE
269985,5396290at2759,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",156,0.0016900729671073,Inf,0.0432437481432744,0.104603120508731,TRUE
59658,147135at33208,DDB1 and CUL4 associated factor 17,30,7.00579755254166e-19,81.7867990398241,0.046564724040728,0.106755133296442,FALSE
179306,3018723at2759,DDB1 and CUL4 associated factor 17,30,7.00579755254166e-19,81.7867990398241,0.046564724040728,0.106755133296442,FALSE
142101,2447324at33208,G/T mismatch-specific thymine DNA glycosylase-like,171,0.0470006123568136,Inf,0.0482968214348948,0.106755133296442,TRUE
266980,5318912at2759,G/T mismatch-specific thymine DNA glycosylase-like,171,0.0470006123568136,Inf,0.0482968214348948,0.106755133296442,TRUE
343201,795622at33208,kelch like family member 15,95,6.93980195524598e-07,12.6697894675111,0.0483325951867176,0.106755133296442,FALSE
120212,206891at2759,WRN helicase interacting protein 1,118,0.0251901129029964,2.94175231151902,0.0487784137792919,0.106755133296442,TRUE
147354,2521783at33208,WRN helicase interacting protein 1,118,0.0251901129029964,2.94175231151902,0.0487784137792919,0.106755133296442,TRUE
68178,154493at2759,E3 ubiquitin-protein ligase RNF170-like,51,4.0016164287961e-20,188.888874792672,0.0495009835955568,0.106755133296442,FALSE
232948,42285at33208,E3 ubiquitin-protein ligase RNF170-like,51,4.0016164287961e-20,188.888874792672,0.0495009835955568,0.106755133296442,FALSE
322580,662654at2759,ankyrin repeat and SOCS box containing 3,45,0.018844814380394,2.84743602895038,0.0539461596819101,0.114956697417404,FALSE
331999,7212at33208,DnaJ heat shock protein family (Hsp40) member C9,171,0.0470006123568136,Inf,0.0554616601311166,0.11679573133494,FALSE
141179,2433198at33208,spermatogenesis associated 22,29,6.98285663245657e-09,14.5078377839637,0.0582322096166255,0.11981109794685,TRUE
266438,5304786at2759,spermatogenesis associated 22,29,6.98285663245657e-09,14.5078377839637,0.0582322096166255,0.11981109794685,TRUE
18265,1083821at2759,BRCA1/BRCA2-containing complex subunit 3,120,6.37490146892392e-05,10.7388284268718,0.0612877182676272,0.123264062583205,TRUE
94570,1763234at33208,BRCA1/BRCA2-containing complex subunit 3,120,6.37490146892392e-05,10.7388284268718,0.0612877182676272,0.123264062583205,TRUE
291396,591612at2759,F-box and WD repeat domain containing 5,158,0.00299262682820841,Inf,0.0663028568600253,0.127728899841451,FALSE
369537,9403at33208,F-box and WD repeat domain containing 5,158,0.00299262682820841,Inf,0.0663028568600253,0.127728899841451,FALSE
22552,1119858at2759,BRISC and BRCA1 A complex member 2,115,0.000108033972007488,7.65902594085058,0.0663619423757258,0.127728899841451,TRUE
158848,27283at33208,BRISC and BRCA1 A complex member 2,115,0.000108033972007488,7.65902594085058,0.0663619423757258,0.127728899841451,TRUE
342958,794207at33208,ankyrin repeat and SOCS box containing 3,46,0.0201461261829015,2.74028016110092,0.0709411947017703,0.135090147357627,FALSE
148691,2531488at33208,tumor protein p53 binding protein 1,113,0.000529353697098139,5.68538519760678,0.0765430198879162,0.14272083916601,TRUE
270629,5403076at2759,tumor protein p53 binding protein 1,113,0.000529353697098139,5.68538519760678,0.0765430198879162,0.14272083916601,TRUE
275491,5483298at2759,N-methylpurine DNA glycosylase,108,1.99766965821157e-06,14.5300428704426,0.0815884183288943,0.149023743682368,TRUE
342468,791338at33208,N-methylpurine DNA glycosylase,108,1.99766965821157e-06,14.5300428704426,0.0815884183288943,0.149023743682368,TRUE
248473,46492at6656,RBR-type E3 ubiquitin transferase,83,0.046544560026359,2.33945609757664,0.083438042577829,0.150862723448802,FALSE
213487,3600at33208,parkin RBR E3 ubiquitin protein ligase,165,0.0166171107843384,Inf,0.0842891882710623,0.150877647005202,FALSE
184604,30853at33208,nudix hydrolase 1,86,1.85948929250872e-05,6.62767919367031,0.0863818062589875,0.151591601179988,TRUE
230583,4161489at2759,nudix hydrolase 1,86,1.85948929250872e-05,6.62767919367031,0.0863818062589875,0.151591601179988,TRUE
219288,3780036at2759,cyclin B1 interacting protein 1,50,3.09958668029198e-12,21.7818537479019,0.0924654568920386,0.159147276766105,FALSE
363525,908448at33208,cyclin B1 interacting protein 1,50,3.09958668029198e-12,21.7818537479019,0.0924654568920386,0.159147276766105,FALSE
345368,807581at33208,F-box protein 22,97,0.0183497711138151,2.72366807771153,0.0944614213804261,0.161034232639012,FALSE
146964,2517901at33208,ring finger protein 14,103,5.43733416881605e-10,Inf,0.0992155551058353,0.165977423962098,FALSE
237316,4338126at2759,ring finger protein 14,103,5.43733416881605e-10,Inf,0.0992155551058353,0.165977423962098,FALSE
61362,149088at33208,F-box protein 7,27,4.59904463170173e-19,103.611450365758,0.104080158647725,0.170920627504061,FALSE
179515,3020676at2759,F-box protein 7,27,4.59904463170173e-19,103.611450365758,0.104080158647725,0.170920627504061,FALSE
120518,207311at33208,ring finger protein 114,22,1.86153626036722e-10,26.2525847930323,0.105260859372306,0.171288125705843,FALSE
241374,44581at33208,MDM2 proto-oncogene,90,7.37287675338922e-08,14.421132348775,0.107036695499953,0.171594453209969,FALSE
162946,280080at33208,Probable E3 ubiquitin-protein ligase HERC1,47,1.52243615597583e-10,15.8132182774319,0.107366361785009,0.171594453209969,FALSE
147936,2526524at33208,WRN RecQ like helicase,76,6.04312262329933e-07,8.71544421432755,0.110322395468847,0.174758484857731,TRUE
127880,217748at33208,F-box protein 5,87,2.18000581956631e-05,6.45554115874711,0.123278813835811,0.191886153709654,FALSE
184886,3089336at2759,F-box protein 5,87,2.18000581956631e-05,6.45554115874711,0.123278813835811,0.191886153709654,FALSE
215349,3659878at2759,ring finger protein 180,73,1.27229502466551e-05,6.20132947692197,0.131620818099512,0.201303696651421,FALSE
341952,788290at33208,ring finger protein 180,73,1.27229502466551e-05,6.20132947692197,0.131620818099512,0.201303696651421,FALSE
151317,257915at33208,"protein kinase, DNA-activated, catalytic subunit",109,0.000246529990346237,6.28585559828178,0.13270299555792,0.201303696651421,TRUE
23484,1126684at2759,COP1 E3 ubiquitin ligase,138,0.000350171353370266,14.0535377855567,0.140349480591813,0.209354641882788,FALSE
147848,2525928at33208,COP1 E3 ubiquitin ligase,138,0.000350171353370266,14.0535377855567,0.140349480591813,0.209354641882788,FALSE
306638,6177at2759,RAD18 E3 ubiquitin protein ligase,80,0.0024722620567713,3.53447205622876,0.148107458088581,0.21910111568476,TRUE
63951,151945at33208,FANCD2 and FANCI associated nuclease 1,141,6.35868205020743e-05,Inf,0.156470166158815,0.227708615792097,TRUE
222146,38749at2759,FANCD2 and FANCI associated nuclease 1,141,6.35868205020743e-05,Inf,0.156470166158815,0.227708615792097,TRUE
148642,2531179at33208,"NSE4 homolog A, SMC5-SMC6 complex component",130,0.00056932284829133,8.26169406015819,0.183423811919301,0.262662898668439,TRUE
192058,318111at2759,"NSE4 homolog A, SMC5-SMC6 complex component",130,0.00056932284829133,8.26169406015819,0.183423811919301,0.262662898668439,TRUE
144571,2483308at33208,tetratricopeptide repeat domain 3,47,1.52243615597583e-10,15.8132182774319,0.193386238263939,0.272568005112165,FALSE
268397,5354896at2759,tetratricopeptide repeat domain 3,47,1.52243615597583e-10,15.8132182774319,0.193386238263939,0.272568005112165,FALSE
148706,2531591at33208,RAD18 E3 ubiquitin protein ligase,79,0.00550684523086454,3.06262344039369,0.195587218952316,0.273516501503629,TRUE
215041,36492at2759,"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase",23,2.2575419980224e-16,88.6622444358602,0.230425140207575,0.317277693055045,TRUE
237582,43448at33208,"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase",23,2.2575419980224e-16,88.6622444358602,0.230425140207575,0.317277693055045,TRUE
193856,32071at33208,kelch like family member 20,170,0.0486740631705131,Inf,0.243008690172235,0.332050042296413,FALSE
162625,279496at33208,zinc finger SWIM-type containing 2,20,4.50036857736768e-10,27.8751416933362,0.264499304912677,0.358677087722494,FALSE
105199,1888at33208,proteasome activator subunit 4,142,6.5348897374679e-05,Inf,0.269959494757262,0.360617534041418,TRUE
326487,68480at2759,proteasome activator subunit 4,142,6.5348897374679e-05,Inf,0.269959494757262,0.360617534041418,TRUE
141445,2437434at33208,X-ray repair cross complementing 5,172,0.0477892755843802,Inf,0.280973146129056,0.369810243802213,TRUE
290779,5884at2759,X-ray repair cross complementing 5,172,0.0477892755843802,Inf,0.280973146129056,0.369810243802213,TRUE
124094,212598at33208,ankyrin repeat and IBR domain containing 1,51,8.77742609636002e-15,36.8320588557147,0.288484599563146,0.376925133735789,FALSE
54469,140984at2759,zinc finger SWIM-type containing 2,21,1.43667991431437e-09,23.1245239664373,0.308531247819727,0.400196328693704,FALSE
372760,961at2759,DNA ligase,171,0.0470006123568136,Inf,0.328498159061004,0.420008360513712,TRUE
147710,2524922at33208,DNA ligase 1,171,0.0470006123568136,Inf,0.328498159061004,0.420008360513712,TRUE
147815,2525651at33208,F-box protein 40,48,9.26615733244973e-16,42.8517531591016,0.349408692880993,0.440451802997871,FALSE
270050,5397239at2759,F-box protein 40,48,9.26615733244973e-16,42.8517531591016,0.349408692880993,0.440451802997871,FALSE
84570,165761at33208,endonuclease/exonuclease/phosphatase family domain containing 1,80,4.32313757730511e-07,9.98551297047767,0.382737572986305,0.469196086510561,TRUE
181052,3037349at2759,endonuclease/exonuclease/phosphatase family domain containing 1,80,4.32313757730511e-07,9.98551297047767,0.382737572986305,0.469196086510561,TRUE
135357,2326076at33208,WD repeat and SOCS box containing 1,30,4.6139193567684e-17,59.0313607459433,0.387870601713384,0.469196086510561,FALSE
264093,5197664at2759,WD repeat and SOCS box containing 1,30,4.6139193567684e-17,59.0313607459433,0.387870601713384,0.469196086510561,FALSE
83825,164973at33208,ankyrin repeat and SOCS box protein 13-like,22,1.86153626036722e-10,26.2525847930323,0.389415516093872,0.469196086510561,FALSE
180989,3036561at2759,ankyrin repeat and SOCS box protein 13-like,22,1.86153626036722e-10,26.2525847930323,0.389415516093872,0.469196086510561,FALSE
172071,2919223at2759,ring finger protein 168,125,0.022618877106316,3.13501824843553,0.393181078081475,0.469196086510561,TRUE
252580,47635at33208,ring finger protein 168,125,0.022618877106316,3.13501824843553,0.393181078081475,0.469196086510561,TRUE
70251,155962at33208,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",64,5.19539472297698e-07,8.16513476079243,0.424154679432558,0.499497944858078,TRUE
275538,5483680at2759,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",64,5.19539472297698e-07,8.16513476079243,0.424154679432558,0.499497944858078,TRUE
230495,41586at33208,ubiquitin like with PHD and ring finger domains 2,126,0.000279315046521566,9.19173590418589,0.436184411739601,0.505437713998782,FALSE
149096,2533843at33208,BRCA1 DNA repair associated,114,0.0151164473239415,3.2589004125789,0.437669528881627,0.505437713998782,TRUE
270883,5405431at2759,BRCA1 DNA repair associated,114,0.0151164473239415,3.2589004125789,0.437669528881627,0.505437713998782,TRUE
344825,804316at33208,"ring finger protein 19A, RBR E3 ubiquitin protein ligase",153,0.000907168112027487,Inf,0.451127874972775,0.517640318077736,FALSE
148281,2528737at33208,lysine acetyltransferase 6B,25,3.91584935844124e-09,17.2900835243876,0.459482712129764,0.523868824657502,FALSE
221296,3844at33208,SNF2 histone linker PHD RING helicase,117,1.54851871220493e-06,24.5743557277952,0.467381984700201,0.529502375071747,FALSE
146568,2513667at33208,GID complex subunit 4 homolog,148,0.000261702320872956,Inf,0.489755961448513,0.548586453077873,FALSE
267445,533090at33208,Histone H4,28,5.13381840956079e-07,10.3157300725176,0.490356606103127,0.548586453077873,FALSE
144481,2482463at33208,PARP1 binding protein,26,7.14957902010594e-18,88.6564218210825,0.501746832493522,0.554399277878645,TRUE
268338,5354051at2759,PARP1 binding protein,26,7.14957902010594e-18,88.6564218210825,0.501746832493522,0.554399277878645,TRUE
147960,2526743at33208,PEST proteolytic signal containing nuclear protein,137,0.00362534613388056,6.798668443175,0.587033898093361,0.640726022918974,FALSE
270104,5398331at2759,PEST proteolytic signal containing nuclear protein,137,0.00362534613388056,6.798668443175,0.587033898093361,0.640726022918974,FALSE
608,100244at33208,homologous recombination factor with OB-fold,114,0.0151164473239415,3.2589004125789,0.607217657122932,0.654770847138583,TRUE
38145,12498at2759,homologous recombination factor with OB-fold,114,0.0151164473239415,3.2589004125789,0.607217657122932,0.654770847138583,TRUE
151798,25890at33208,ring finger protein 217,23,5.60460814364724e-10,22.4161672198897,0.770769510363867,0.809605603187025,FALSE
58994,146204at2759,DNA polymerase kappa,22,9.75420090586457e-06,9.22737859904103,0.777945048872448,0.809605603187025,TRUE
148180,2528080at33208,DNA polymerase kappa,22,9.75420090586457e-06,9.22737859904103,0.777945048872448,0.809605603187025,TRUE
309171,6210at33208,E3 ubiquitin-protein ligase MIB1-like,20,2.35852694207821e-06,11.6555396672968,0.777945048872448,0.809605603187025,FALSE
130176,2212721at2759,E3 ubiquitin-protein ligase mib1-like,20,2.35852694207821e-06,11.6555396672968,0.777945048872448,0.809605603187025,FALSE
146669,2514724at33208,ubiquitin protein ligase E3C,20,2.35852694207821e-06,11.6555396672968,0.777945048872448,0.809605603187025,FALSE
83650,1647859at33208,ring finger and SPRY domain containing 1,152,0.00705876602579471,9.03695737339159,0.801348394278532,0.824375646987686,FALSE
88902,170308at2759,ring finger and SPRY domain containing 1,152,0.00705876602579471,9.03695737339159,0.801348394278532,0.824375646987686,FALSE
68962,15489at6656,Alpha-ketoglutarate-dependent dioxygenase AlkB-like,54,0.0301323459199493,2.43700247001711,0.851232867661844,0.870689618922686,TRUE
204621,3404678at2759,Histone H4,27,2.67016733505374e-06,9.07596556396393,0.919564380930532,0.935238773787302,FALSE
50767,138224at6656,histone H1,24,0.00130454898857639,4.87311942922787,0.92832825566256,0.938817840472306,FALSE
162108,278697at33208,histone H1,25,0.000365571632653164,5.62036311181131,0.955189713453209,0.955189713453209,FALSE
189763,3150285at2759,histone H1,25,0.000365571632653164,5.62036311181131,0.955189713453209,0.955189713453209,FALSE
