Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Oncorhynchus tshawytscha" 2 0 Inf 4 2360 Absent Present
"Culex quinquefasciatus" 2 0 32634863 0 50389394 Absent Absent
"Daucus carota subsp. sativus" 2 4 8886 0 Inf Present Absent
"Quercus robur" 2 4 0 0 Inf Present Absent
"Tursiops truncatus" 2 0 Inf 4 0 Absent Present
"Takifugu rubripes" 2 0 Inf 4 4613 Absent Present
"Lates calcarifer" 1 0 Inf 2 1416 Absent Present
"Prunus dulcis" 3 6 8435 0 1161363 Present Absent
"Caenorhabditis briggsae" 8 0 Inf 0 1245987 Absent Absent
"Cucurbita pepo subsp. pepo" 1 2 291 0 603138 Present Absent
"Culex pipiens pallens" 1 0 1252417 0 39652107 Absent Absent
"Peromyscus maniculatus bairdii" 1 0 Inf 2 12226 Absent Present
"Drosophila ananassae" 2 0 Inf 0 8407727 Absent Absent
"Leucoraja erinacea" 1 0 Inf 2 20040 Absent Present
"Oncorhynchus kisutch" 1 0 Inf 2 2358 Absent Present
"Spodoptera litura" 2 0 Inf 0 Inf Absent Absent
"Poecilia reticulata" 1 0 Inf 2 6224 Absent Present
"Prunus mume" 1 2 8425 0 181268 Present Absent
"Puccinia striiformis f. sp. tritici" 5 0 2164355 0 678195 Absent Absent
"Rhinolophus ferrumequinum" 2 0 Inf 4 7885 Absent Present
"Labeo rohita" 3 0 Inf 6 2435 Absent Present
"Ailuropoda melanoleuca" 3 0 Inf 4 55 Absent Present
"Anolis carolinensis" 1 0 3145622 2 11475 Absent Present
"Carya illinoinensis" 8 10 0 0 5914467 Present Absent
"Drosophila yakuba" 2 0 5240522 0 10936656 Absent Absent
"Megalobrama amblycephala" 2 0 Inf 4 601 Absent Present
"Petromyzon marinus" 1 0 Inf 2 4916 Absent Present
"Papaver somniferum" 3 6 300 0 48974534 Present Absent
"Pomacea canaliculata" 1 0 Inf 2 646 Absent Present
"Manduca sexta" 2 0 Inf 0 Inf Absent Absent
"Asparagus officinalis" 9 16 0 0 33420292 Present Absent
"Vigna angularis" 5 8 0 0 4712656 Present Absent
"Panthera tigris" 1 0 37250790 2 10187 Absent Present
"Oryza glaberrima" 1 2 195 0 13184904 Present Absent
"Pangasianodon hypophthalmus" 3 0 Inf 6 1023 Absent Present
"Glycine soja" 5 6 253 0 1477140 Present Absent
"Drosophila suzukii" 4 0 Inf 0 Inf Absent Absent
"Camelus dromedarius" 3 0 Inf 6 8405 Absent Present
"Danaus plexippus plexippus" 3 0 Inf 0 Inf Absent Absent
"Trichomonas vaginalis G3" 3 0 Inf 0 Inf Absent Absent
"Neogale vison" 1 0 Inf 2 11755 Absent Present
"Anastrepha ludens" 1 0 Inf 0 11225834 Absent Absent
"Zeugodacus cucurbitae" 2 0 Inf 0 8861703 Absent Absent
"Sarcophilus harrisii" 1 0 Inf 2 21095 Absent Present
"Bos indicus x Bos taurus" 1 0 Inf 2 10454 Absent Present
"Anopheles darlingi" 2 0 2115595 0 3460618 Absent Absent
"Hermetia illucens" 3 0 Inf 0 4429018 Absent Absent
"Trifolium pratense" 3 6 288 0 1493714 Present Absent
"Betta splendens" 1 0 Inf 2 481 Absent Present
"Solea senegalensis" 4 0 Inf 8 0 Absent Present
"Trichoplusia ni" 1 0 929316 0 7186940 Absent Absent
"Cherax quadricarinatus" 1 0 Inf 2 137460 Absent Present
"Microtus ochrogaster" 2 0 Inf 4 10301 Absent Present
"Pyricularia grisea" 4 0 Inf 0 1553092 Absent Absent
"Trachemys scripta elegans" 3 0 Inf 6 0 Absent Present
"Gorilla gorilla gorilla" 7 0 Inf 12 0 Absent Present
"Siniperca chuatsi" 2 0 Inf 4 0 Absent Present
"Gossypium raimondii" 3 6 0 0 Inf Present Absent
"Dasypus novemcinctus" 2 0 Inf 4 10729 Absent Present
"Pieris rapae" 2 0 Inf 0 2895557 Absent Absent
"Hippoglossus hippoglossus" 2 0 Inf 4 0 Absent Present
"Lytechinus variegatus" 2 0 Inf 4 35170 Absent Present
"Coregonus clupeaformis" 2 0 Inf 4 2360 Absent Present
"Bicyclus anynana" 4 0 Inf 0 Inf Absent Absent
"Rhipicephalus sanguineus" 1 0 Inf 2 4155 Absent Present
"Oncorhynchus nerka" 1 0 Inf 2 2288 Absent Present
"Lupinus angustifolius" 5 4 213 0 5769789 Present Absent
"Babesia bovis T2Bo" 2 0 488493 0 72165 Absent Absent
