Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Suillus variegatus" 1 0 Inf 0 Inf Absent Absent
"Trichodelitschia bisporula" 1 0 Inf 0 704158 Absent Absent
"Multifurca ochricompacta" 1 0 Inf 0 Inf Absent Absent
"Clohesyomyces aquaticus" 1 0 Inf 0 Inf Absent Absent
"Camillea tinctor" 1 0 Inf 0 10994 Absent Absent
"Xylaria intraflava" 1 0 Inf 0 Inf Absent Absent
"Heliocybe sulcata" 1 0 Inf 0 Inf Absent Absent
"Mycena leptocephala" 1 0 Inf 0 Inf Absent Absent
"Mycena haematopus" 1 0 Inf 0 Inf Absent Absent
"Amylocystis lapponica" 2 0 Inf 0 Inf Absent Absent
"Amanita rubescens" 1 0 Inf 0 Inf Absent Absent
"Xylaria telfairii" 1 0 Inf 0 Inf Absent Absent
"Rhodocollybia butyracea" 1 0 Inf 0 Inf Absent Absent
"Russula brevipes" 1 0 Inf 0 16113 Absent Absent
"Rhabdornis inornatus" 1 0 Inf 2 21 Absent Present
"Campylorhamphus procurvoides" 1 0 Inf 2 12663 Absent Present
"Trichophaea hybrida" 3 0 Inf 0 Inf Absent Absent
"Falcunculus frontatus" 1 0 Inf 2 12572 Absent Present
"Lactarius pseudohatsudake" 1 0 Inf 0 Inf Absent Absent
"Cerioporus squamosus" 1 0 Inf 0 Inf Absent Absent
"Hypoxylon fuscum" 1 0 Inf 0 Inf Absent Absent
"Irpex rosettiformis" 1 0 Inf 0 Inf Absent Absent
"Xylaria palmicola" 1 0 Inf 0 Inf Absent Absent
"Dicrurus megarhynchus" 1 0 Inf 2 21 Absent Present
"Rhagologus leucostigma" 1 0 Inf 2 12580 Absent Present
"Trichinella nelsoni" 1 0 Inf 0 Inf Absent Absent
"Gymnorhina tibicen" 1 0 Inf 2 12491 Absent Present
"Polyplosphaeria fusca" 1 0 Inf 0 Inf Absent Absent
"Russula compacta" 1 0 Inf 0 Inf Absent Absent
"Lineolata rhizophorae" 1 0 Inf 0 Inf Absent Absent
"Gracilaria domingensis" 2 0 Inf 0 Inf Absent Absent
"Hypoxylon argillaceum" 1 0 Inf 0 Inf Absent Absent
"Edolisoma coerulescens" 1 0 Inf 2 21 Absent Present
"Pilatotrama ljubarskyi" 1 0 Inf 0 Inf Absent Absent
"Nemania diffusa" 1 0 Inf 0 Inf Absent Absent
"Xylariaceae sp. FL0594" 1 0 Inf 0 Inf Absent Absent
"Sclerurus mexicanus" 1 0 Inf 2 12724 Absent Present
"Acephala macrosclerotiorum" 1 0 Inf 0 Inf Absent Absent
"Cordyceps javanica" 2 0 Inf 0 Inf Absent Absent
"Pomphorhynchus laevis" 1 0 Inf 0 Inf Absent Absent
"Atrichornis clamosus" 1 0 Inf 2 12434 Absent Present
"Fomitopsis schrenkii" 2 0 Inf 0 Inf Absent Absent
"Suillus ampliporus" 1 0 Inf 0 Inf Absent Absent
"Cnemophilus loriae" 1 0 Inf 2 21 Absent Present
"Vireo altiloquus" 1 0 Inf 2 21 Absent Present
"Jackrogersella minutella" 1 0 Inf 0 Inf Absent Absent
"Sphaerosporella brunnea" 1 0 135723 0 Inf Absent Absent
"Podila humilis" 2 0 Inf 0 Inf Absent Absent
"Dicaeum eximium" 1 0 Inf 2 21 Absent Present
"Rhinopomastus cyanomelas" 1 0 Inf 2 21 Absent Present
"Crepidotus variabilis" 1 0 Inf 0 Inf Absent Absent
"Lactarius psammicola" 1 0 Inf 0 Inf Absent Absent
"Aspergillus turcosus" 2 0 Inf 0 Inf Absent Absent
"Circinella minor" 1 0 Inf 0 Inf Absent Absent
"Oreocharis arfaki" 1 0 Inf 2 12526 Absent Present
"Spheniscus demersus" 1 0 Inf 2 21 Absent Present
"Stercorarius parasiticus" 1 0 Inf 2 24 Absent Present
"Russula aff. rugulosa BPL654" 1 0 Inf 0 Inf Absent Absent
"Trichinella nativa" 4 0 Inf 0 Inf Absent Absent
"Melanocharis versteri" 1 0 Inf 2 12534 Absent Present
"Entophlyctis helioformis" 1 0 Inf 0 Inf Absent Absent
"Ifrita kowaldi" 1 0 Inf 2 12542 Absent Present
"Nymphaea thermarum" 1 2 249 0 Inf Present Absent
"Spheniscus magellanicus" 1 0 Inf 2 12935 Absent Present
"Grantiella picta" 1 0 Inf 2 12091 Absent Present
"Trichonephila clavata" 2 0 Inf 0 Inf Absent Absent
"Crypturellus undulatus" 1 0 Inf 2 10707 Absent Present
"Origma solitaria" 1 0 Inf 2 12271 Absent Present
"Didymosphaeria enalia" 1 0 Inf 0 Inf Absent Absent
"Lanius ludovicianus" 1 0 Inf 2 21 Absent Present
"Rhipidura dahli" 1 0 Inf 2 21 Absent Present
"Oriolus oriolus" 1 0 Inf 2 12540 Absent Present
"Chaetorhynchus papuensis" 1 0 Inf 2 11930 Absent Present
"Loxia leucoptera" 1 0 Inf 2 21 Absent Present
"Onychorhynchus coronatus" 1 0 Inf 2 12727 Absent Present
"Halcyon senegalensis" 1 0 Inf 2 21 Absent Present
"Eudyptula minor" 1 0 Inf 2 21 Absent Present
"Urocolius indicus" 1 0 Inf 2 39 Absent Present
"Suillus occidentalis" 1 0 Inf 0 Inf Absent Absent
"Pelecanoides urinatrix" 1 0 Inf 2 12854 Absent Present
"Crucibulum laeve" 1 0 Inf 0 Inf Absent Absent
"Asarcornis scutulata" 1 0 Inf 2 10967 Absent Present
"Gyrodon lividus" 1 0 Inf 0 Inf Absent Absent
"Aleadryas rufinucha" 1 0 Inf 2 21 Absent Present
"Serilophus lunatus" 1 0 Inf 2 12720 Absent Present
"Lactarius quietus" 1 0 Inf 0 Inf Absent Absent
"Pachyramphus minor" 1 0 Inf 2 21 Absent Present
"Leptocoma aspasia" 1 0 Inf 2 21 Absent Present
"Caulochytrium protostelioides" 2 0 Inf 0 Inf Absent Absent
"Toxostoma redivivum" 1 0 Inf 2 21 Absent Present
"Emmonsia crescens" 1 0 Inf 0 Inf Absent Absent
"Coprinopsis marcescibilis" 1 0 Inf 0 Inf Absent Absent
"Phlegmacium glaucopus" 1 0 Inf 0 Inf Absent Absent
"Leucogyrophana mollusca" 1 0 Inf 0 Inf Absent Absent
"Ceratobasidium theobromae" 1 0 Inf 0 Inf Absent Absent
"Menura novaehollandiae" 1 0 Inf 2 21 Absent Present
"Mesembrinibis cayennensis" 1 0 Inf 2 21 Absent Present
"Pholiota conissans" 1 0 Inf 0 Inf Absent Absent
"Platysteira castanea" 1 0 Inf 2 13090 Absent Present
"Sakesphorus luctuosus" 1 0 Inf 2 12659 Absent Present
"Erythrocercus mccallii" 1 0 Inf 2 8672 Absent Present
"Crotophaga sulcirostris" 1 0 Inf 2 21 Absent Present
"Tulasnella sp. JGI-2019a" 3 0 Inf 0 Inf Absent Absent
"Pardalotus punctatus" 1 0 Inf 2 21 Absent Present
"Orthonyx spaldingii" 1 0 Inf 2 12552 Absent Present
"Suillus hirtellus" 1 0 Inf 0 Inf Absent Absent
"Eudyptes chrysocome" 1 0 Inf 2 12926 Absent Present
"Apostasia shenzhenica" 1 2 4092 0 Inf Present Absent
"Drymodes brunneopygia" 1 0 Inf 2 48 Absent Present
"Sclerotinia borealis F-4128" 1 0 Inf 0 Inf Absent Absent
"Sitta europaea" 1 0 Inf 2 21 Absent Present
"Daphoenositta chrysoptera" 1 0 Inf 2 21 Absent Present
"Centropus unirufus" 1 0 Inf 2 13502 Absent Present
"Formicarius rufipectus" 1 0 Inf 2 21 Absent Present
"Crypturellus soui" 1 0 Inf 2 24 Absent Present
"Rostratula benghalensis" 1 0 Inf 2 12021 Absent Present
"Ptilorrhoa leucosticta" 1 0 Inf 2 13697 Absent Present
"Byssothecium circinans" 1 0 Inf 0 Inf Absent Absent
"Machaerirhynchus nigripectus" 1 0 Inf 2 12529 Absent Present
"Russula earlei" 1 0 Inf 0 Inf Absent Absent
"Certhia brachydactyla" 1 0 Inf 2 21 Absent Present
"Eulacestoma nigropectus" 1 0 Inf 2 21 Absent Present
"Oxyruncus cristatus" 1 0 Inf 2 12706 Absent Present
"Cephalopterus ornatus" 1 0 Inf 2 12845 Absent Present
"Lentinula aff. detonsa" 2 0 16861 0 Inf Absent Absent
"Phainopepla nitens" 1 0 Inf 2 21 Absent Present
"Struthidea cinerea" 1 0 Inf 2 12582 Absent Present
"Pachycephala philippinensis" 1 0 Inf 2 21 Absent Present
"Quiscalus mexicanus" 1 0 Inf 2 12852 Absent Present
"Thryothorus ludovicianus" 1 0 Inf 2 12276 Absent Present
"Sapayoa aenigma" 1 0 Inf 2 12886 Absent Present
"Scytalopus superciliaris" 1 0 Inf 2 21 Absent Present
"Pomatorhinus ruficollis" 1 0 Inf 2 12063 Absent Present
"Psophia crepitans" 1 0 Inf 2 21 Absent Present
"Eurystomus gularis" 1 0 Inf 2 13720 Absent Present
"Nicator chloris" 1 0 Inf 2 12062 Absent Present
"Actinomortierella wolfii" 2 0 Inf 0 Inf Absent Absent
"Catharus fuscescens" 1 0 Inf 2 11704 Absent Present
"Ramaria rubella" 1 0 Inf 0 Inf Absent Absent
"Furnarius figulus" 1 0 Inf 2 12664 Absent Present
"Oceanodroma tethys" 1 0 Inf 2 21 Absent Present
"Trema orientale" 1 2 321 0 Inf Present Absent
"Urocynchramus pylzowi" 1 0 Inf 2 21 Absent Present
"Pycnonotus jocosus" 1 0 Inf 2 21 Absent Present
"Heliornis fulica" 1 0 Inf 2 11832 Absent Present
"Ardeotis kori" 1 0 Inf 2 21 Absent Present
"Anseranas semipalmata" 1 0 Inf 2 18404 Absent Present
"Calycina marina" 1 0 Inf 0 Inf Absent Absent
"Chytriomyces hyalinus" 4 0 Inf 0 Inf Absent Absent
"Corythaixoides concolor" 1 0 Inf 2 12767 Absent Present
"Calcarius ornatus" 1 0 Inf 2 21 Absent Present
"Trogon melanurus" 1 0 Inf 0 Inf Absent Absent
"Notiomystis cincta" 1 0 Inf 2 12009 Absent Present
"Anthoscopus minutus" 1 0 Inf 2 21 Absent Present
"Lentinula novae-zelandiae" 1 0 Inf 0 Inf Absent Absent
"Thelephora ganbajun" 1 0 Inf 0 238228 Absent Absent
"Geococcyx californianus" 1 0 Inf 2 21 Absent Present
"Burhinus bistriatus" 1 0 Inf 2 21 Absent Present
"Geotrichum bryndzae" 1 0 Inf 0 Inf Absent Absent
"Paxillus ammoniavirescens" 1 0 Inf 0 Inf Absent Absent
"Erpornis zantholeuca" 1 0 Inf 2 12455 Absent Present
"Imleria badia" 1 0 Inf 0 Inf Absent Absent
"Nothoprocta pentlandii" 1 0 Inf 2 27 Absent Present
"Suillus americanus" 1 0 Inf 0 Inf Absent Absent
"Menidia menidia" 1 0 Inf 2 5172 Absent Present
"Cinclus mexicanus" 1 0 Inf 2 21 Absent Present
"Zapornia atra" 1 0 Inf 2 13637 Absent Present
"Piaya cayana" 1 0 Inf 2 13967 Absent Present
"Turnix velox" 1 0 Inf 2 24 Absent Present
"Mucor plumbeus" 1 0 Inf 0 Inf Absent Absent
"Pterocles burchelli" 1 0 Inf 2 21 Absent Present
"Neopipo cinnamomea" 1 0 Inf 2 21 Absent Present
"Suillus decipiens" 1 0 Inf 0 Inf Absent Absent
"Pitta sordida" 1 0 Inf 2 21 Absent Present
"Brachypteracias leptosomus" 1 0 Inf 2 14094 Absent Present
"Acromyrmex insinuator" 1 0 Inf 0 Inf Absent Absent
"Chauna torquata" 1 0 Inf 2 15632 Absent Present
"Chroicocephalus maculipennis" 1 0 Inf 0 Inf Absent Absent
"Chloropsis hardwickii" 1 0 Inf 2 21 Absent Present
"Globomyces pollinis-pini" 1 0 Inf 0 Inf Absent Absent
"Kazachstania exigua" 1 0 Inf 0 55270 Absent Absent
"Prunella himalayana" 1 0 Inf 2 11994 Absent Present
"Polysphondylium violaceum" 1 0 Inf 0 Inf Absent Absent
"Steatornis caripensis" 1 0 Inf 2 8100 Absent Present
"Hygrophoropsis aurantiaca" 1 0 Inf 0 Inf Absent Absent
"Sagittarius serpentarius" 1 0 Inf 2 13632 Absent Present
"Picathartes gymnocephalus" 1 0 Inf 2 12113 Absent Present
"Psilopogon haemacephalus" 1 0 Inf 2 6 Absent Present
"Pluteus cervinus" 1 0 Inf 0 Inf Absent Absent
"Fregata magnificens" 1 0 Inf 2 21 Absent Present
"Chloroceryle aenea" 1 0 Inf 2 39 Absent Present
"Pomatostomus ruficeps" 1 0 Inf 2 11858 Absent Present
"Pteruthius melanotis" 1 0 Inf 2 12102 Absent Present
"Actinomortierella ambigua" 4 0 Inf 0 Inf Absent Absent
"Dimargaris cristalligena" 2 0 Inf 0 Inf Absent Absent
"Coemansia aciculifera" 6 0 Inf 0 198389 Absent Absent
"Jacana jacana" 1 0 Inf 2 13942 Absent Present
"Nothocercus nigrocapillus" 1 0 Inf 0 Inf Absent Absent
"Temnothorax longispinosus" 1 0 Inf 0 Inf Absent Absent
"Chytriomyces confervae" 1 0 Inf 0 Inf Absent Absent
"Rhodinocichla rosea" 1 0 Inf 2 11995 Absent Present
"Gigaspora margarita" 6 0 Inf 0 Inf Absent Absent
"Dryoscopus gambensis" 1 0 Inf 2 21 Absent Present
"Ceuthmochares aereus" 1 0 Inf 2 21 Absent Present
"Circaetus pectoralis" 1 0 Inf 2 21 Absent Present
"Regulus satrapa" 1 0 Inf 2 11816 Absent Present
"Podila horticola" 1 0 Inf 0 Inf Absent Absent
"Sparganum proliferum" 1 0 Inf 0 Inf Absent Absent
"Oceanites oceanicus" 1 0 Inf 2 12788 Absent Present
"Thelazia callipaeda" 1 0 Inf 0 Inf Absent Absent
"Microctonus aethiopoides" 2 0 Inf 0 407920 Absent Absent
"Prunella fulvescens" 1 0 Inf 2 11983 Absent Present
"Lobulomyces angularis" 1 0 Inf 0 Inf Absent Absent
"Chloropsis cyanopogon" 1 0 Inf 2 21 Absent Present
"Paragonimus heterotremus" 1 0 Inf 0 Inf Absent Absent
"Hypocryptadius cinnamomeus" 1 0 Inf 2 21 Absent Present
"Dissophora globulifera" 3 0 Inf 0 Inf Absent Absent
"Thamnocephalis sphaerospora" 1 0 Inf 0 Inf Absent Absent
"Eolophus roseicapilla" 1 0 Inf 2 12942 Absent Present
"Phytomonas sp. EM1" 1 0 Inf 0 1153203 Absent Absent
"Chiloscyllium punctatum" 2 0 Inf 0 Inf Absent Absent
"Emberiza fucata" 1 0 Inf 2 21 Absent Present
"Paramuricea clavata" 4 0 Inf 0 Inf Absent Absent
"Podila clonocystis" 2 0 Inf 0 Inf Absent Absent
"Panurus biarmicus" 1 0 Inf 2 21 Absent Present
"Alectura lathami" 1 0 Inf 2 66 Absent Present
"Linnemannia gamsii" 1 0 Inf 0 Inf Absent Absent
"Paragonimus skrjabini miyazakii" 1 0 Inf 0 Inf Absent Absent
"Mortierella polycephala" 1 0 Inf 0 Inf Absent Absent
"Gonium pectorale" 2 0 Inf 0 Inf Absent Absent
"Podila epicladia" 2 0 Inf 0 Inf Absent Absent
"Pitangus sulphuratus" 1 0 Inf 0 31302 Absent Absent
"Entomortierella chlamydospora" 2 0 Inf 0 Inf Absent Absent
"Tichodroma muraria" 1 0 Inf 2 12015 Absent Present
"Haemonchus placei" 1 0 Inf 0 Inf Absent Absent
"Clydaea vesicula" 1 0 Inf 0 Inf Absent Absent
"Aphelenchus avenae" 1 0 Inf 0 Inf Absent Absent
"Thraustotheca clavata" 1 0 Inf 0 Inf Absent Absent
"Amylostereum chailletii" 1 0 Inf 0 37230 Absent Absent
"Coemansia thaxteri" 2 0 Inf 0 Inf Absent Absent
"Phlebia brevispora" 1 0 Inf 0 Inf Absent Absent
"Jimgerdemannia flammicorona" 1 0 Inf 0 Inf Absent Absent
"Absidia glauca" 2 0 Inf 0 Inf Absent Absent
"Piptocephalis cylindrospora" 2 0 Inf 0 Inf Absent Absent
"Mystacornis crossleyi" 1 0 Inf 2 12241 Absent Present
"Trachipleistophora hominis" 1 0 Inf 0 Inf Absent Absent
"Hydatigera taeniaeformis" 2 0 Inf 0 Inf Absent Absent
"Echinostoma caproni" 2 0 Inf 0 Inf Absent Absent
"Oreotrochilus melanogaster" 1 0 Inf 2 21 Absent Present
"Neodrepanis coruscans" 1 0 Inf 2 12791 Absent Present
"Phytophthora megakarya" 1 0 Inf 0 Inf Absent Absent
"Kipferlia bialata" 1 0 Inf 0 Inf Absent Absent
"Eimeria brunetti" 1 0 Inf 0 Inf Absent Absent
"Genlisea aurea" 2 2 1930 0 Inf Present Absent
"Syncephalis pseudoplumigaleata" 1 0 Inf 0 Inf Absent Absent
"Ochromonadaceae sp. CCMP2298" 1 0 Inf 0 Inf Absent Absent
"Lunasporangiospora selenospora" 1 0 Inf 0 Inf Absent Absent
"Aduncisulcus paluster" 2 0 Inf 0 Inf Absent Absent
"Asbolus verrucosus" 2 0 Inf 0 Inf Absent Absent
"Hepatospora eriocheir" 3 0 Inf 0 Inf Absent Absent
"Enterobius vermicularis" 1 0 Inf 0 Inf Absent Absent
"Coemansia nantahalensis" 4 0 Inf 0 Inf Absent Absent
"Haplosporangium bisporale" 1 0 Inf 0 Inf Absent Absent
"Modicella reniformis" 1 0 Inf 0 Inf Absent Absent
"Leptotrombidium deliense" 1 0 Inf 2 270 Absent Present
"Dibothriocephalus latus" 3 0 Inf 0 Inf Absent Absent
"Halteria grandinella" 5 0 Inf 0 Inf Absent Absent
"Gongylonema pulchrum" 4 0 Inf 0 Inf Absent Absent
"Strongylus vulgaris" 4 0 Inf 0 Inf Absent Absent
"Myriangium duriaei CBS 260.36" 1 0 856285 0 Inf Absent Absent
"Aspergillus phoenicis ATCC 13157" 1 0 Inf 0 1631659 Absent Absent
"Cryptococcus depauperatus CBS 7855" 1 0 Inf 0 415750 Absent Absent
"Mycena galopus ATCC 62051" 1 0 Inf 0 Inf Absent Absent
"Hyaloscypha variabilis F" 1 0 Inf 0 323838 Absent Absent
"Coniochaeta ligniaria NRRL 30616" 1 0 Inf 0 962293 Absent Absent
"Zopfia rhizophila CBS 207.26" 1 0 Inf 0 Inf Absent Absent
"Cryptococcus gattii VGIV IND107" 1 0 Inf 0 Inf Absent Absent
"Karstenula rhodostoma CBS 690.94" 1 0 Inf 0 218379 Absent Absent
"Kwoniella heveanensis BCC8398" 1 0 Inf 0 Inf Absent Absent
"Metarhizium guizhouense ARSEF 977" 1 0 Inf 0 Inf Absent Absent
"Polychaeton citri CBS 116435" 1 0 Inf 0 Inf Absent Absent
"Fistulina hepatica ATCC 64428" 1 0 Inf 0 Inf Absent Absent
"Nadsonia fulvescens var. elongata DSM 6958" 1 0 1264175 0 1271307 Absent Absent
"Aspergillus violaceofuscus CBS 115571" 1 0 Inf 0 322771 Absent Absent
"Annulohypoxylon bovei var. microspora" 1 0 Inf 0 Inf Absent Absent
"Sistotremastrum niveocremeum HHB9708" 1 0 Inf 0 Inf Absent Absent
"Calocera viscosa TUFC12733" 1 0 Inf 0 Inf Absent Absent
"Ascobolus immersus RN42" 1 0 Inf 0 Inf Absent Absent
"Lophiostoma macrostomum CBS 122681" 1 0 Inf 0 Inf Absent Absent
"Patellaria atrata CBS 101060" 1 0 Inf 0 Inf Absent Absent
"Hypholoma sublateritium FD-334 SS-4" 1 0 Inf 0 Inf Absent Absent
"Amanita inopinata Kibby_2008" 1 0 Inf 0 Inf Absent Absent
"Daedalea quercina L-15889" 1 0 Inf 0 110635 Absent Absent
"Saccharata proteae CBS 121410" 1 0 Inf 0 Inf Absent Absent
"Aulographum hederae CBS 113979" 1 0 Inf 0 Inf Absent Absent
"Moelleriella libera RCEF 2490" 1 0 Inf 0 140492 Absent Absent
"Choiromyces venosus 120613-1" 1 0 Inf 0 Inf Absent Absent
"Terfezia boudieri ATCC MYA-4762" 1 0 Inf 0 Inf Absent Absent
"Piedraia hortae CBS 480.64" 1 0 Inf 0 Inf Absent Absent
"Collybiopsis luxurians FD-317 M1" 2 0 Inf 0 Inf Absent Absent
"Massarina eburnea CBS 473.64" 1 0 Inf 0 1428139 Absent Absent
"Edhazardia aedis USNM 41457" 1 0 Inf 0 Inf Absent Absent
"Sporothrix insectorum RCEF 264" 1 0 Inf 0 Inf Absent Absent
"Sistotremastrum suecicum HHB10207 ss-3" 1 0 Inf 0 Inf Absent Absent
"Neolentinus lepideus HHB14362 ss-1" 1 0 Inf 0 Inf Absent Absent
"Cylindrobasidium torrendii FP15055 ss-10" 1 0 Inf 0 Inf Absent Absent
"Lentithecium fluviatile CBS 122367" 1 0 Inf 0 Inf Absent Absent
"Calocera cornea HHB12733" 2 0 Inf 0 Inf Absent Absent
"Neoconidiobolus thromboides FSU 785" 1 0 Inf 0 Inf Absent Absent
"Marasmius fiardii PR-910" 1 0 Inf 0 Inf Absent Absent
"Hydnum rufescens UP504" 1 0 Inf 0 Inf Absent Absent
"Vararia minispora EC-137" 1 0 Inf 0 Inf Absent Absent
"Pleomassaria siparia CBS 279.74" 1 0 Inf 0 Inf Absent Absent
"Wilcoxina mikolae CBS 423.85" 3 0 49490 0 Inf Absent Absent
"Melanomma pulvis-pyrius CBS 109.77" 1 0 Inf 0 Inf Absent Absent
"Dendrothele bispora CBS 962.96" 1 0 Inf 0 Inf Absent Absent
"Hydnomerulius pinastri MD-312" 1 0 Inf 0 Inf Absent Absent
"Polyporus arcularius HHB13444" 1 0 Inf 0 Inf Absent Absent
"Stachybotrys chlorohalonata IBT 40285" 1 0 Inf 0 Inf Absent Absent
"Exidia glandulosa HHB12029" 1 0 Inf 0 Inf Absent Absent
"Rhizopogon vinicolor AM-OR11-026" 1 0 Inf 0 Inf Absent Absent
"Backusella circina FSU 941" 1 0 Inf 0 Inf Absent Absent
"Laccaria amethystina LaAM-08-1" 1 0 Inf 0 Inf Absent Absent
"Trichophyton equinum CBS 127.97" 1 0 391345 0 67535 Absent Absent
"Sphaerobolus stellatus SS14" 6 0 Inf 0 Inf Absent Absent
"Neolecta irregularis DAH-3" 1 0 Inf 0 Inf Absent Absent
"Triparma laevis f. inornata" 1 2 5759 0 Inf Present Absent
"Paxillus rubicundulus Ve08.2h10" 1 0 Inf 0 Inf Absent Absent
"Amanita brunnescens Koide BX004" 1 0 Inf 0 Inf Absent Absent
"Anncaliia algerae PRA339" 1 0 Inf 0 Inf Absent Absent
"Cuscuta europaea" 2 2 0 0 Inf Present Absent
"Anaeramoeba flamelloides" 11 0 2242909 0 293107 Absent Absent
"Aphelenchoides bicaudatus" 1 0 1831901 0 2636603 Absent Absent
"Danaus chrysippus" 1 0 Inf 0 Inf Absent Absent
"Bursaphelenchus okinawaensis" 2 0 827500 0 1221320 Absent Absent
"Penicillium majusculum" 1 0 538896 0 4781900 Absent Absent
"Penicillium viridicatum" 1 0 584846 0 193429 Absent Absent
"Penicillium freii" 2 0 576150 0 751147 Absent Absent
"Xylogone sp. PMI_703" 1 0 Inf 0 761171 Absent Absent
"Caenorhabditis bovis" 1 0 Inf 0 Inf Absent Absent
"Parnassius apollo" 1 0 Inf 0 Inf Absent Absent
"Bryopsis sp. KO-2023" 1 2 486 0 3038278 Present Absent
"Penicillium sp. CMV-2018d" 1 0 553304 0 53131 Absent Absent
"Lasiosphaeria miniovina" 3 0 Inf 0 897627 Absent Absent
"Penicillium cf. griseofulvum" 3 0 471717 0 1346878 Absent Absent
"Mycena venus" 1 0 Inf 0 95406 Absent Absent
"Penicillium desertorum" 1 0 511267 0 727972 Absent Absent
"Helobdella robusta" 1 0 Inf 2 307 Absent Present
"Chaetomium sp. MPI-CAGE-AT-0009" 1 0 1206684 0 465552 Absent Absent
"Pieris macdunnoughi" 1 0 Inf 0 Inf Absent Absent
"Penicillium lividum" 1 0 409773 0 Inf Absent Absent
"Penicillium sp. IBT 16267x" 1 0 666465 0 Inf Absent Absent
"Penicillium herquei" 2 0 542022 0 1212275 Absent Absent
"Pocillopora meandrina" 1 0 Inf 2 225 Absent Present
"Fusarium sp. MPI-SDFR-AT-0072" 1 0 Inf 0 Inf Absent Absent
"Penicillium glabrum" 2 0 579443 0 Inf Absent Absent
"Penicillium sp. DV-2018c" 2 0 514961 0 1202706 Absent Absent
"Penicillium cf. viridicatum" 1 0 567329 0 Inf Absent Absent
"Pestalotiopsis sp. NC0098" 1 0 Inf 0 215658 Absent Absent
"Penicillium sp. IBT 31633x" 1 0 22067 0 853668 Absent Absent
"Yarrowia sp. E02" 1 0 Inf 0 2281499 Absent Absent
"Fusarium sp. VM40" 1 0 Inf 0 Inf Absent Absent
"Penicillium sp. IBT 35674x" 1 0 652723 0 1142527 Absent Absent
"Penicillium tannophilum" 1 0 618434 0 Inf Absent Absent
"Trichoderma gracile" 1 0 Inf 0 Inf Absent Absent
"Yarrowia sp. C11" 1 0 Inf 0 Inf Absent Absent
"Chaetomium sp. MPI-SDFR-AT-0129" 1 0 Inf 0 632087 Absent Absent
"Nitzschia inconspicua" 3 0 Inf 0 572552 Absent Absent
"Microdochium nivale" 1 0 Inf 0 Inf Absent Absent
"Penicillium sp. IBT 18751x" 1 0 711906 0 Inf Absent Absent
"Cuscuta epithymum" 3 4 0 0 Inf Present Absent
"Yarrowia sp. B02" 1 0 207044 0 Inf Absent Absent
"Sordaria sp. MPI-SDFR-AT-0083" 1 0 Inf 0 Inf Absent Absent
"Rhodosorus marinus" 1 0 Inf 0 1024593 Absent Absent
"Penicillium nalgiovense" 30 0 427409 0 Inf Absent Absent
"Clathrus columnatus" 1 0 Inf 0 Inf Absent Absent
"Periconia digitata" 1 0 1807113 0 Inf Absent Absent
"Mycena kentingensis (nom. inval.)" 1 0 Inf 0 72056 Absent Absent
"Botrytis aclada" 1 0 Inf 0 269282 Absent Absent
"Mariannaea sp. PMI_226" 1 0 Inf 0 Inf Absent Absent
"Psilocybe cf. subviscida" 1 0 Inf 0 1269716 Absent Absent
"Penicillium sp. str. #12" 1 0 Inf 0 1391329 Absent Absent
"Closterium sp. Naga37s-1" 2 4 1014 0 Inf Present Absent
"Sclerotinia nivalis" 1 0 Inf 0 250091 Absent Absent
"Termitomyces sp. 'cryptogamus'" 1 0 1957540 0 Inf Absent Absent
"Leptodontidium sp. MPI-SDFR-AT-0119" 1 0 Inf 0 508003 Absent Absent
"Coniochaeta sp. 2T2.1" 2 0 115985 0 1841558 Absent Absent
"Aphanomyces cochlioides" 1 0 1069327 0 Inf Absent Absent
"Caenorhabditis sp. 36 PRJEB53466" 1 0 Inf 0 412862 Absent Absent
"Elsinoe batatas" 1 0 229883 0 598057 Absent Absent
"Botryotinia globosa" 1 0 1189362 0 263022 Absent Absent
"Marasmius tenuissimus" 1 0 Inf 0 Inf Absent Absent
"Phlebopus sp. FC_14" 1 0 Inf 0 Inf Absent Absent
"Lanmaoa asiatica" 1 0 Inf 0 447739 Absent Absent
"Rhexocercosporidium sp. MPI-PUGE-AT-0058" 1 0 Inf 0 729738 Absent Absent
"Hypoxylon sp. FL1284" 1 0 730429 0 Inf Absent Absent
"Ilyonectria sp. MPI-CAGE-AT-0026" 1 0 Inf 0 Inf Absent Absent
"Kalmusia sp. IMI 367209" 1 0 Inf 0 Inf Absent Absent
"Parascedosporium putredinis" 2 0 Inf 0 Inf Absent Absent
"Linum tenue" 7 10 0 0 48507727 Present Absent
"Mycena chlorophos" 1 0 843465 0 2233656 Absent Absent
"Hyphodiscus hymeniophilus" 1 0 Inf 0 Inf Absent Absent
"Volvox reticuliferus" 7 0 269669 0 Inf Absent Absent
"[Torrubiella] hemipterigena" 1 0 525042 0 1442252 Absent Absent
"Mesorhabditis belari" 1 0 Inf 0 Inf Absent Absent
"Clonostachys solani" 1 0 Inf 0 1225179 Absent Absent
"Collariella sp. IMI 366227" 1 0 Inf 0 18685 Absent Absent
"Chlorella desiccata (nom. nud.)" 4 4 397 0 Inf Present Absent
"Phaeosphaeria sp. MPI-PUGE-AT-0046c" 1 0 515839 0 Inf Absent Absent
